punto_id,region,x1_inicial,x2_inicial,alpha0,beta,c,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final
P012,1,-91.15074979480804,-60.80342751617096,1.0,0.7,0.001,-0.5320893638628038,-3.984621313142066e-14,-1.4456224072858697,125,True,0.5320893638628038
P012,1,-91.15074979480804,-60.80342751617096,0.8,0.5,0.0001,2.87938559878829,4.104374872742957e-06,-15.234422383410537,103,True,2.8793855987912154
P012,1,-91.15074979480804,-60.80342751617096,0.8,0.5,0.001,2.87938559878829,4.104374872742957e-06,-15.234422383410537,103,True,2.8793855987912154
P012,1,-91.15074979480804,-60.80342751617096,0.8,0.7,0.0001,2.879385773260181,2.3177996813921444e-07,-15.23442238342498,136,True,2.87938577326019
P012,1,-91.15074979480804,-60.80342751617096,0.8,0.7,0.001,2.8793847117595046,3.541333706048234e-07,-15.234422383424937,133,True,2.8793847117595264
P012,1,-91.15074979480804,-60.80342751617096,0.5,0.5,0.0001,2.8793847624245985,0.0,-15.234422383425828,97,True,2.8793847624245985
P012,1,-91.15074979480804,-60.80342751617096,0.5,0.5,0.001,2.8793847624245985,0.0,-15.234422383425828,97,True,2.8793847624245985
P012,1,-91.15074979480804,-60.80342751617096,0.5,0.7,0.0001,2.8793856869501337,-3.1849773686407805e-06,-15.23442238341616,110,True,2.8793856869518955
P012,1,-91.15074979480804,-60.80342751617096,0.5,0.7,0.001,2.8793856869501337,-3.1849773686407805e-06,-15.23442238341616,110,True,2.8793856869518955
P013,1,-90.97102299455918,67.0604991178476,1.0,0.5,0.0001,2.8793847276962197,0.0,-15.234422383425297,114,True,2.8793847276962197
P013,1,-90.97102299455918,67.0604991178476,1.0,0.5,0.001,2.8793847276962197,0.0,-15.234422383425297,114,True,2.8793847276962197
P013,1,-90.97102299455918,67.0604991178476,1.0,0.7,0.0001,2.879384800315811,2.673902459277705e-06,-15.234422383419217,102,True,2.8793848003170526
P013,1,-90.97102299455918,67.0604991178476,1.0,0.7,0.001,2.879384800315811,2.673902459277705e-06,-15.234422383419217,102,True,2.8793848003170526
P013,1,-90.97102299455918,67.0604991178476,0.8,0.5,0.0001,2.879385757152996,4.62970536757558e-06,-15.234422383403848,86,True,2.879385757156718
P013,1,-90.97102299455918,67.0604991178476,0.8,0.5,0.001,2.879385757152996,4.62970536757558e-06,-15.234422383403848,86,True,2.879385757156718
P013,1,-90.97102299455918,67.0604991178476,0.8,0.7,0.0001,2.879384859263164,4.193764902700932e-07,-15.234422383426917,124,True,2.8793848592631948
P013,1,-90.97102299455918,67.0604991178476,0.8,0.7,0.001,2.8793848605848913,5.563285957190827e-07,-15.23442238342681,122,True,2.879384860584945
P013,1,-90.97102299455918,67.0604991178476,0.5,0.5,0.0001,2.8793847276962197,0.0,-15.234422383425297,114,True,2.8793847276962197
P013,1,-90.97102299455918,67.0604991178476,0.5,0.5,0.001,2.8793847276962197,0.0,-15.234422383425297,114,True,2.8793847276962197
P013,1,-90.97102299455918,67.0604991178476,0.5,0.7,0.0001,-0.5320883903958958,0.0,-1.4456224072857264,203,True,0.5320883903958958
P013,1,-90.97102299455918,67.0604991178476,0.5,0.7,0.001,-0.5320883903958958,0.0,-1.4456224072857264,203,True,0.5320883903958958
P014,1,-90.68972321941008,79.44315159066534,1.0,0.5,0.0001,2.8793847378104465,0.0,-15.234422383425457,100,True,2.8793847378104465
P014,1,-90.68972321941008,79.44315159066534,1.0,0.5,0.001,2.8793847378104465,0.0,-15.234422383425457,100,True,2.8793847378104465
P014,1,-90.68972321941008,79.44315159066534,1.0,0.7,0.0001,2.8793848022847666,-3.262240863619583e-06,-15.234422383415756,123,True,2.8793848022866144
P014,1,-90.68972321941008,79.44315159066534,1.0,0.7,0.001,2.8793856592320557,-2.8861174757628834e-06,-15.234422383418336,124,True,2.879385659233502
P014,1,-90.68972321941008,79.44315159066534,0.8,0.5,0.0001,2.8793856434136784,-4.62901598230482e-06,-15.234422383405441,91,True,2.8793856434173994
P014,1,-90.68972321941008,79.44315159066534,0.8,0.5,0.001,2.8793856434136784,-4.62901598230482e-06,-15.234422383405441,91,True,2.8793856434173994
P014,1,-90.68972321941008,79.44315159066534,0.8,0.7,0.0001,2.8793858430090298,2.873608885378783e-07,-15.234422383423734,128,True,2.879385843009044
P014,1,-90.68972321941008,79.44315159066534,0.8,0.7,0.001,2.879384643986747,4.390546812776897e-07,-15.23442238342371,125,True,2.8793846439867807
P014,1,-90.68972321941008,79.44315159066534,0.5,0.5,0.0001,2.8793847378104465,0.0,-15.234422383425457,100,True,2.8793847378104465
P014,1,-90.68972321941008,79.44315159066534,0.5,0.5,0.001,2.8793847378104465,0.0,-15.234422383425457,100,True,2.8793847378104465
P014,1,-90.68972321941008,79.44315159066534,0.5,0.7,0.0001,2.8793846843693087,0.0,-15.234422383424604,66,True,2.8793846843693087
P014,1,-90.68972321941008,79.44315159066534,0.5,0.7,0.001,2.8793846843693087,0.0,-15.234422383424604,66,True,2.8793846843693087
P015,1,-88.04057540616984,42.648957444599006,1.0,0.5,0.0001,2.8793857213295464,0.0,-15.23442238342583,106,True,2.8793857213295464
P015,1,-88.04057540616984,42.648957444599006,1.0,0.5,0.001,2.8793857213295464,0.0,-15.23442238342583,106,True,2.8793857213295464
P015,1,-88.04057540616984,42.648957444599006,1.0,0.7,0.0001,2.879384742111535,2.6839516550936443e-06,-15.234422383418314,123,True,2.879384742112786
P015,1,-88.04057540616984,42.648957444599006,1.0,0.7,0.001,2.879385664403029,3.2131920131030277e-06,-15.234422383416275,122,True,2.879385664404822
P015,1,-88.04057540616984,42.648957444599006,0.8,0.5,0.0001,2.8793848278328933,4.439755240191271e-06,-15.234422383407008,98,True,2.8793848278363163
