punto_id,region,x1_inicial,x2_inicial,learning_rate,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final,max_iter_alcanzado
P110,2,0.1873495356561849,-3.9685259082169946,0.001,-0.5320888862379527,-0.03250336385986835,-1.444565938625507,2400,False,0.5330807176405389,True
P110,2,0.1873495356561849,-3.9685259082169946,0.005,-0.5320888862379555,-9.857335092797146e-05,-1.4456223975710085,1055,True,0.5320888953686719,False
P110,2,0.1873495356561849,-3.9685259082169946,0.01,-0.5320888862379558,-4.844306438525871e-05,-1.4456224049409834,560,True,0.5320888884431612,False
P110,2,0.1873495356561849,-3.9685259082169946,0.05,-0.532088886237956,-8.408148829749221e-06,-1.445622407217017,124,True,0.5320888863043894,False
P110,2,0.1873495356561849,-3.9685259082169946,0.1,-0.5320888862379569,-3.892318885218108e-06,-1.4456224072725639,62,True,0.5320888862521934,False
P110,2,0.1873495356561849,-3.9685259082169946,0.2,,-5e-324,,2400,False,,True
P110,2,0.1873495356561849,-3.9685259082169946,0.3,,0.0,,2400,False,,True
P110,2,0.1873495356561849,-3.9685259082169946,0.5,,0.0,,2400,False,,True
P111,2,0.1888859215118568,5.490203202490704,0.001,-0.5320888862379527,0.04496633674122711,-1.4436004358477885,2400,False,0.533985537536243,True
P111,2,0.1888859215118568,5.490203202490704,0.005,-0.5320888862379555,9.886554080054448e-05,-1.445622397513319,1087,True,0.5320888954228824,False
P111,2,0.1888859215118568,5.490203202490704,0.01,-0.5320888862379558,4.8507402303586645e-05,-1.445622404934746,576,True,0.5320888884490226,False
P111,2,0.1888859215118568,5.490203202490704,0.05,-0.532088886237956,8.479829449047513e-06,-1.4456224072158064,127,True,0.532088886305527,False
P111,2,0.1888859215118568,5.490203202490704,0.1,-0.5320888862379562,3.4462564049979918e-06,-1.4456224072758372,64,True,0.5320888862491167,False
P111,2,0.1888859215118568,5.490203202490704,0.2,,5e-324,,2400,False,,True
P111,2,0.1888859215118568,5.490203202490704,0.3,,0.0,,2400,False,,True
P111,2,0.1888859215118568,5.490203202490704,0.5,,0.0,,2400,False,,True
P112,2,0.2015560027548533,-14.453345230453507,0.001,-0.5320888862379527,-0.11837703718779316,-1.4316092843543538,2400,False,0.5450978864307814,True
P112,2,0.2015560027548533,-14.453345230453507,0.005,-0.5320888862379555,-9.818356109165172e-05,-1.4456223976477023,1184,True,0.5320888952966033,False
P112,2,0.2015560027548533,-14.453345230453507,0.01,-0.5320888862379558,-4.84216526960326e-05,-1.4456224049430575,624,True,0.5320888884412122,False
P112,2,0.2015560027548533,-14.453345230453507,0.05,-0.532088886237956,-8.648676643967688e-06,-1.4456224072129145,136,True,0.5320888863082447,False
P112,2,0.2015560027548533,-14.453345230453507,0.1,-0.532088886237956,-3.7161008508199933e-06,-1.4456224072739046,68,True,0.5320888862509326,False
